                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.40558,                0.28273,                0.87233,                  0.973,                0.95477,                0.97793,                0.91361,                0.39128,                0.25983,                0.90289,                0.00307,                0.00307,                0.00307
                     38,                0.39375,                0.27423,                0.86937,                0.97376,                0.94344,                0.97127,                0.91153,                0.35714,                 0.2516,                0.89787,               0.002872,               0.002872,               0.002872
                     39,                0.38628,                0.26834,                0.86576,                0.96556,                0.95067,                0.97181,                0.90824,                0.37411,                0.25675,                0.89773,               0.002674,               0.002674,               0.002674
                     40,                0.39276,                0.27196,                0.86973,                0.97552,                0.95028,                0.97343,                0.91171,                0.36592,                 0.2553,                0.89631,               0.002476,               0.002476,               0.002476
                     41,                0.35308,                0.23837,                0.85149,                0.97889,                0.94816,                0.97428,                0.91473,                0.37337,                0.24692,                0.89529,               0.002278,               0.002278,               0.002278
                     42,                0.36181,                0.24214,                0.85395,                0.97282,                0.93621,                0.97424,                0.90668,                0.40035,                  0.273,                 0.9091,                0.00208,                0.00208,                0.00208
                     43,                0.34736,                0.23259,                0.84469,                0.97341,                0.95588,                0.97795,                0.91743,                0.37262,                0.24865,                0.89942,               0.001882,               0.001882,               0.001882
                     44,                0.35019,                0.23155,                0.85014,                0.96561,                0.95735,                0.97623,                0.91865,                0.35804,                0.24047,                0.89561,               0.001684,               0.001684,               0.001684
                     45,                 0.3392,                0.22567,                0.84652,                0.97171,                0.95332,                0.97601,                0.91942,                0.34212,                0.23208,                0.88826,               0.001486,               0.001486,               0.001486
                     46,                0.32167,                0.21428,                0.83978,                0.97774,                0.95501,                0.97697,                0.92003,                0.33385,                0.22851,                0.89243,               0.001288,               0.001288,               0.001288
                     47,                0.30984,                0.21034,                 0.8375,                0.97983,                0.95062,                0.97697,                0.92023,                0.35175,                0.23168,                0.89332,                0.00109,                0.00109,                0.00109
                     48,                0.33171,                0.23108,                0.85294,                0.97736,                 0.9503,                 0.9766,                0.92126,                0.35567,                0.23737,                0.89061,               0.000892,               0.000892,               0.000892
                     49,                0.31171,                0.20577,                0.83373,                0.96962,                0.95993,                0.97732,                0.92309,                0.33421,                0.21905,                0.88701,               0.000694,               0.000694,               0.000694
                     50,                0.29862,                0.19989,                0.83347,                0.97611,                0.95155,                0.97638,                0.92267,                0.33141,                0.21781,                0.88741,               0.000496,               0.000496,               0.000496
