                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.49702,                0.33801,                0.89535,                0.95456,                0.92637,                0.96027,                0.87587,                0.42133,                0.29621,                0.88282,              0.0082675,              0.0082675,              0.0082675
                     38,                0.49097,                 0.3403,                0.89417,                0.95269,                0.92381,                 0.9593,                0.85642,                0.42546,                0.30169,                0.88928,               0.008218,               0.008218,               0.008218
                     39,                0.49575,                0.34039,                0.89165,                0.94861,                0.93677,                0.96503,                0.87917,                0.40916,                0.27551,                0.88614,              0.0081685,              0.0081685,              0.0081685
                     40,                 0.4871,                0.34038,                0.89175,                 0.9766,                0.86964,                0.93886,                0.82676,                0.46372,                0.32605,                0.89981,               0.008119,               0.008119,               0.008119
                     41,                0.49038,                0.33634,                0.89292,                0.96458,                0.89354,                0.94876,                0.86523,                0.41464,                0.30756,                0.88129,              0.0080695,              0.0080695,              0.0080695
                     42,                0.50682,                0.34359,                0.89745,                0.97561,                0.93509,                0.96969,                0.88457,                0.39687,                0.26979,                0.87729,                0.00802,                0.00802,                0.00802
                     43,                0.50462,                0.34478,                0.89267,                0.94521,                0.91379,                0.95321,                0.87688,                0.39906,                0.29281,                0.88084,              0.0079705,              0.0079705,              0.0079705
                     44,                0.48395,                0.33061,                0.88581,                0.94938,                0.93796,                0.96849,                 0.8853,                 0.3866,                 0.2601,                0.88127,               0.007921,               0.007921,               0.007921
                     45,                0.45964,                0.32074,                0.88096,                0.96758,                0.94124,                0.97029,                 0.8957,                 0.3717,                0.25809,                0.87311,              0.0078715,              0.0078715,              0.0078715
                     46,                0.46968,                0.32314,                0.88303,                0.97177,                0.94741,                0.97099,                0.90019,                0.34937,                 0.2411,                0.87002,               0.007822,               0.007822,               0.007822
                     47,                0.45588,                0.31245,                 0.8777,                0.96402,                0.94105,                0.96551,                0.88658,                0.36999,                0.26212,                0.87109,              0.0077725,              0.0077725,              0.0077725
                     48,                 0.4749,                0.32573,                0.88153,                0.96036,                0.93704,                0.96895,                0.89675,                0.36669,                0.25702,                0.87363,               0.007723,               0.007723,               0.007723
                     49,                0.46042,                0.31754,                0.88145,                0.96322,                0.93802,                0.96961,                0.89744,                0.36485,                0.24875,                 0.8715,              0.0076735,              0.0076735,              0.0076735
                     50,                0.46256,                0.31742,                0.88126,                0.96934,                0.92173,                0.96476,                0.88949,                0.37325,                0.26512,                0.87668,               0.007624,               0.007624,               0.007624
                     51,                0.47559,                0.32227,                0.88204,                 0.8878,                0.66384,                 0.8174,                0.64152,                0.71107,                0.75208,                 1.0659,              0.0075745,              0.0075745,              0.0075745
                     52,                0.45831,                0.31382,                0.87638,                0.96954,                0.92439,                0.96536,                0.89385,                0.35182,                0.24865,                0.87276,               0.007525,               0.007525,               0.007525
                     53,                0.45755,                0.31266,                0.88125,                0.96148,                 0.9448,                0.96711,                0.87734,                0.39251,                0.24815,                0.88095,              0.0074755,              0.0074755,              0.0074755
                     54,                0.46415,                  0.314,                0.88395,                0.97234,                0.93808,                0.97267,                0.89989,                0.37347,                0.25045,                0.87401,               0.007426,               0.007426,               0.007426
                     55,                0.45667,                 0.3098,                0.87644,                0.95577,                0.94143,                0.96625,                0.88168,                 0.4137,                 0.2684,                0.88436,              0.0073765,              0.0073765,              0.0073765
                     56,                0.44696,                0.30234,                 0.8755,                0.95671,                0.94945,                0.96597,                0.90291,                0.34183,                 0.2376,                0.86612,               0.007327,               0.007327,               0.007327
                     57,                0.45868,                0.31047,                0.88085,                0.96725,                0.94508,                0.97172,                0.89005,                 0.3896,                0.24737,                0.87669,              0.0072775,              0.0072775,              0.0072775
                     58,                0.45925,                0.31263,                0.87668,                0.97268,                0.93381,                0.96671,                0.88969,                0.35917,                0.25517,                0.87122,               0.007228,               0.007228,               0.007228
                     59,                0.47402,                0.32013,                0.88539,                0.96124,                0.94263,                0.96886,                0.89111,                0.36849,                0.24615,                0.87445,              0.0071785,              0.0071785,              0.0071785
                     60,                 0.4605,                0.30872,                0.87562,                0.96423,                0.95152,                0.97355,                0.89779,                0.36552,                0.24618,                0.87042,               0.007129,               0.007129,               0.007129
                     61,                0.43697,                0.29815,                0.87405,                0.95758,                 0.9573,                0.97328,                0.90635,                0.35058,                0.23513,                0.87379,              0.0070795,              0.0070795,              0.0070795
                     62,                0.44502,                0.30202,                 0.8767,                0.96398,                0.93937,                0.96865,                0.88663,                0.38545,                0.25542,                0.87729,                0.00703,                0.00703,                0.00703
                     63,                0.43303,                0.29537,                0.86945,                0.96496,                0.93738,                0.97124,                0.90112,                0.37004,                0.23999,                0.87249,              0.0069805,              0.0069805,              0.0069805
                     64,                0.43929,                0.29919,                0.87196,                0.96386,                0.94632,                0.97319,                 0.9028,                0.35795,                0.23696,                 0.8759,               0.006931,               0.006931,               0.006931
                     65,                0.43589,                0.29951,                0.87714,                0.95698,                0.94683,                0.96959,                0.89395,                0.36142,                 0.2441,                0.86766,              0.0068815,              0.0068815,              0.0068815
                     66,                0.41866,                0.29452,                0.86305,                0.97586,                0.94458,                0.97373,                0.90979,                0.32971,                0.22335,                0.86111,               0.006832,               0.006832,               0.006832
                     67,                0.43159,                0.29461,                  0.872,                0.96257,                0.94712,                0.97236,                0.89928,                 0.3743,                0.23863,                0.87318,              0.0067825,              0.0067825,              0.0067825
                     68,                0.44597,                 0.3009,                0.87788,                0.97242,                0.93449,                0.96683,                0.88561,                0.37862,                0.26455,                 0.8787,               0.006733,               0.006733,               0.006733
                     69,                0.42767,                0.28987,                0.86738,                0.95959,                0.94512,                0.97322,                0.90317,                0.35986,                 0.2397,                0.86853,              0.0066835,              0.0066835,              0.0066835
                     70,                0.43162,                0.29479,                0.86924,                0.96786,                0.94435,                0.97462,                0.91003,                0.32686,                0.22535,                0.85897,               0.006634,               0.006634,               0.006634
                     71,                0.41993,                0.28282,                0.86552,                0.97138,                0.94523,                0.97015,                0.90586,                0.33585,                0.22386,                0.86813,              0.0065845,              0.0065845,              0.0065845
                     72,                0.41402,                0.28368,                 0.8679,                0.97382,                0.93173,                 0.9682,                0.90753,                0.33398,                0.22372,                0.86421,               0.006535,               0.006535,               0.006535
                     73,                0.42814,                0.29381,                0.87341,                0.97283,                0.93767,                0.97244,                 0.9092,                0.33294,                0.22453,                0.86412,              0.0064855,              0.0064855,              0.0064855
                     74,                0.43691,                0.29282,                0.87025,                0.97401,                0.95086,                0.97504,                0.91089,                 0.3268,                0.21759,                 0.8654,               0.006436,               0.006436,               0.006436
                     75,                0.41451,                0.28206,                0.86809,                0.97437,                 0.9421,                0.97656,                 0.9136,                0.33704,                0.22016,                 0.8632,              0.0063865,              0.0063865,              0.0063865
                     76,                 0.4105,                 0.2861,                0.86767,                0.96691,                0.94008,                0.96809,                0.90058,                0.33766,                0.23438,                0.86871,               0.006337,               0.006337,               0.006337
                     77,                0.41827,                0.28755,                0.86571,                0.96804,                 0.9411,                0.97169,                0.89969,                0.38606,                0.24212,                0.86846,              0.0062875,              0.0062875,              0.0062875
                     78,                 0.4406,                0.29196,                0.87453,                0.96221,                0.95042,                0.96796,                0.90005,                0.37641,                0.23381,                0.86525,               0.006238,               0.006238,               0.006238
                     79,                0.40743,                0.28246,                 0.8614,                0.96301,                0.94649,                0.97054,                0.90525,                0.34747,                0.22661,                0.86603,              0.0061885,              0.0061885,              0.0061885
                     80,                0.40223,                0.27928,                0.85998,                0.96914,                0.92515,                0.96398,                0.88955,                0.36637,                0.24691,                0.87181,               0.006139,               0.006139,               0.006139
                     81,                0.41024,                0.27478,                0.86407,                0.97783,                0.93843,                0.97195,                 0.9046,                0.35647,                 0.2301,                0.87036,              0.0060895,              0.0060895,              0.0060895
                     82,                0.41602,                 0.2802,                0.86657,                0.96124,                 0.9379,                0.96791,                 0.9018,                0.33788,                0.22797,                0.86491,                0.00604,                0.00604,                0.00604
                     83,                0.40543,                 0.2745,                0.86036,                0.96775,                0.94451,                0.97466,                0.91363,                0.30336,                0.21056,                0.85646,              0.0059905,              0.0059905,              0.0059905
                     84,                0.40006,                0.27375,                0.86243,                0.96506,                0.94329,                0.97085,                0.90728,                0.31578,                 0.2055,                0.86288,               0.005941,               0.005941,               0.005941
                     85,                0.40131,                0.27123,                0.86131,                0.97273,                0.93804,                0.96674,                0.90663,                0.31289,                0.21676,                0.85664,              0.0058915,              0.0058915,              0.0058915
                     86,                0.40862,                0.27755,                0.85983,                0.96697,                0.94424,                0.96983,                0.90374,                0.34554,                0.23234,                0.86343,               0.005842,               0.005842,               0.005842
                     87,                0.39993,                0.27277,                0.86024,                 0.9737,                0.94794,                0.97231,                0.91043,                0.32047,                0.22161,                0.86215,              0.0057925,              0.0057925,              0.0057925
                     88,                0.39655,                0.27171,                0.86088,                 0.9767,                0.94556,                0.97637,                0.91295,                0.32325,                0.21169,                0.86801,               0.005743,               0.005743,               0.005743
